#;Country, Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;Tests/1M pop;Population
88;Ethiopia;470,647;38;7,51;;455,716;5;7,421;5;3,916;62;4,800,646;39,943;120,187,071
89;Mongolia;469,885;;2,179;;313,256;;154,45;192;139,219;646;4,030,048;1,194,033;3,375,157
90;Honduras;423,794;19;10,895;;132,358;;280,541;105;41,574;1,069;1,358,559;133,275;10,193,652
91;Armenia;422,877;3;8,622;;412,026;7;2,229;;142,22;2,9;3,059,332;1,028,898;2,973,407
92;Oman;389,126;;4,258;;384,243;;625;4;72,804;797;25,000,000;4,677,399;5,344,851
93;Bosnia and Herzegovina;377,087;;15,765;;192,218;;169,104;;116,264;4,861;1,758,191;542,087;3,243,377
94;Réunion;374,295;;742;;355,605;;17,948;10;412,656;818;1,603,660;1,768,019;907,038
95;Qatar;364,826;48;677;;363,645;72;504;3;129,933;241;3,452,650;1,229,662;2,807,805
96;Kenya;323,806;10;5,649;;318,034;24;123;;5,788;101;3,605,860;64,455;55,944,116
97;Zambia;319,755;;3,976;;315,266;;513;1;16,543;206;3,429,405;177,43;19,328,259
98;North Macedonia;309,925;135;9,283;1;300,021;85;621;;148,772;4,456;2,025,083;972,094;2,083,217
99;Botswana;305,859;;2,688;;303,026;;145;1;125,417;1,102;2,026,898;831,126;2,438,737
100;Albania;275,211;20;3,496;;271,424;85;291;2;95,825;1,217;1,808,952;629,851;2,872,031
101;Algeria;265,782;;6,875;;178,358;;80,549;6;5,867;152;230,861;5,096;45,303,854
102;Nigeria;255,766;;3,143;;249,914;;2,709;11;1,187;15;5,075,820;23,552;215,511,406
103;Zimbabwe;248,05;60;5,471;1;241,899;38;680;12;16,255;359;2,264,510;148,396;15,259,935
104;Luxembourg;240,132;797;1,068;4;229,649;32;9,415;1;372,492;1,657;4,234,646;6,568,765;644,664
105;Uzbekistan;238,636;8;1,637;;236,765;19;234;23;6,945;48;1,377,915;40,103;34,359,257
106;Montenegro;235,484;81;2,716;;232,117;85;651;6;374,848;4,323;2,456,137;3,909,726;628,212
107;Mozambique;225,4;13;2,201;;223,155;12;44;13;6,859;67;1,314,422;39,999;32,861,508
108;China;218,198;362;5,128;16;198,55;2,092;14,52;620;152;4;160,000,000;111,163;1,439,323,776
109;Laos;208,111;263;745;;7,66;;199,706;;27,862;100;1,232,128;164,959;7,469,284
110;Taiwan;202,418;28,487;881;5;29,697;976;171,84;;8,471;37;15,009,750;628,131;23,895,881
111;Kyrgyzstan;200,993;;2,991;;196,406;1;1,596;131;29,902;445;1,907,195;283,737;6,721,694
112;Iceland;185,795;;119;;75,685;;109,991;;538,057;345;2,264,004;6,556,496;345,307
113;Maldives;179,171;;298;;163,687;;15,186;25;321,088;534;2,213,831;3,967,354;558,012
114;Afghanistan;178,901;;7,683;;161,896;;9,322;1,124;4,413;190;944,738;23,306;40,536,624
115;Uganda;164,069;;3,596;;100,205;;60,268;2;3,391;74;2,612,795;53,994;48,390,164
116;El Salvador;162,089;;4,128;;150,662;;7,299;8;24,761;631;1,950,448;297,948;6,546,266
117;Ghana;161,216;;1,445;;159,737;;34;1;4,997;45;2,438,498;75,582;32,262,860
118;Namibia;158,94;66;4,025;;153,662;;1,253;;60,541;1,533;1,009,474;384,513;2,625,331
119;Martinique;153,253;;926;;104;;152,223;8;408,968;2,471;828,928;2,212,061;374,731
120;Trinidad and Tobago;149,532;555;3,843;5;137,013;511;8,676;18;106,216;2,73;712,717;506,261;1,407,805
121;Brunei;142,166;87;218;;141,408;;540;;319,355;490;717,784;1,612,396;445,166
122;Guadeloupe;140,13;;854;;2,25;;137,026;19;350,106;2,134;938,039;2,343,633;400,25
123;Cambodia;136,258;1;3,056;;133,156;12;46;;7,948;178;2,954,445;172,336;17,143,544
124;Jamaica;130,473;85;2,97;1;83,874;111;43,629;;43,711;995;1,008,811;337,973;2,984,886
125;Rwanda;129,819;4;1,459;;45,522;;82,838;;9,587;108;5,285,642;390,339;13,541,157
126;Cameroon;119,78;;1,927;;117,791;;62;13;4,315;69;1,751,774;63,109;27,757,944
127;Angola;99,194;;1,9;;97,149;;145;;2,855;55;1,499,795;43,17;34,741,212
128;Malta;92,308;158;703;1;87,926;202;3,679;4;208,041;1,584;1,889,711;4,258,974;443,701
129;DRC;87,023;;1,337;;50,93;;34,756;;920;14;846,704;8,955;94,555,007
130;Senegal;86,01;3;1,966;;84,025;5;19;;4,9;112;1,071,480;61,042;17,553,251
131;Malawi;85,795;5;2,634;;82,069;;1,092;67;4,282;131;575,161;28,705;20,036,661
132;Ivory Coast;81,967;8;799;;81,132;9;36;;2,972;29;1,503,708;54,529;27,576,446
133;French Guiana;80,859;;395;;11,254;;69,21;2;258,433;1,262;627,211;2,004,625;312,882
134;Suriname;79,393;;1,328;;49,402;;28,663;;133,148;2,227;236,066;395,899;596,278
135;Channel Islands;74,642;;171;;73,655;;816;;422,174;967;1,252,808;7,085,858;176,804
136;French Polynesia;72,765;19;648;;N/A;N/A;N/A;7;256,316;2,283;;;283,888
137;Barbados;71,127;;399;;67,374;;3,354;;246,951;1,385;652,229;2,264,519;288,021
138;Eswatini;70,833;93;1,398;1;69,01;10;425;11;59,916;1,183;1,016,801;860,086;1,182,208
139;Fiji;64,646;;862;;62,791;;993;;71,167;949;508,091;559,346;908,366
140;Madagascar;64,181;;1,391;;59,37;;3,42;14;2,213;48;426,22;14,699;28,996,777
