,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
113,Maldives,179171,0,298,0.0,163687,0,15186,25,321088,534,2213831,3967354,558012
114,Afghanistan,178901,0,7683,0.0,161896,0,9322,1124,4413,190,944738,23306,40536624
115,Uganda,164069,0,3596,0.0,100205,0,60268,2,3391,74,2612795,53994,48390164
116,El Salvador,162089,0,4128,0.0,150662,0,7299,8,24761,631,1950448,297948,6546266
117,Ghana,161216,0,1445,0.0,159737,0,34,1,4997,45,2438498,75582,32262860
118,Namibia,15894,66,4025,0.0,153662,0,1253,0,60541,1533,1009474,384513,2625331
119,Martinique,153253,0,926,0.0,104,0,152223,8,408968,2471,828928,2212061,374731
120,Trinidad and Tobago,149532,555,3843,5.0,137013,511,8676,18,106216,273,712717,506261,1407805
121,Brunei,142166,87,218,0.0,141408,0,540,0,319355,490,717784,1612396,445166
122,Guadeloupe,14013,0,854,0.0,225,0,137026,19,350106,2134,938039,2343633,40025
123,Cambodia,136258,1,3056,0.0,133156,12,46,0,7948,178,2954445,172336,17143544
124,Jamaica,130473,85,297,1.0,83874,111,43629,0,43711,995,1008811,337973,2984886
125,Rwanda,129819,4,1459,0.0,45522,0,82838,0,9587,108,5285642,390339,13541157
126,Cameroon,11978,0,1927,0.0,117791,0,62,13,4315,69,1751774,63109,27757944
127,Angola,99194,0,19,0.0,97149,0,145,0,2855,55,1499795,4317,34741212
128,Malta,92308,158,703,1.0,87926,202,3679,4,208041,1584,1889711,4258974,443701
129,DRC,87023,0,1337,0.0,5093,0,34756,0,920,14,846704,8955,94555007
130,Senegal,8601,3,1966,0.0,84025,5,19,0,49,112,1071480,61042,17553251
131,Malawi,85795,5,2634,0.0,82069,0,1092,67,4282,131,575161,28705,20036661
132,Ivory Coast,81967,8,799,0.0,81132,9,36,0,2972,29,1503708,54529,27576446
133,French Guiana,80859,0,395,0.0,11254,0,6921,2,258433,1262,627211,2004625,312882
134,Suriname,79393,0,1328,0.0,49402,0,28663,0,133148,2227,236066,395899,596278
135,Channel Islands,74642,0,171,0.0,73655,0,816,0,422174,967,1252808,7085858,176804
136,French Polynesia,72765,19,648,0.0,0,0,0,7,256316,2283,0,0,283888
137,Barbados,71127,0,399,0.0,67374,0,3354,0,246951,1385,652229,2264519,288021
138,Eswatini,70833,93,1398,1.0,6901,10,425,11,59916,1183,1016801,860086,1182208
139,Fiji,64646,0,862,0.0,62791,0,993,0,71167,949,508091,559346,908366
140,Madagascar,64181,0,1391,0.0,5937,0,342,14,2213,48,42622,14699,28996777
141,Guyana,63518,27,1228,0.0,622,51,90,1,80046,1548,60094,757312,793517
142,Sudan,62135,18,4933,2.0,0,0,0,0,1359,108,562941,12311,45727331
143,New Caledonia,60749,0,312,0.0,60231,0,206,9,209094,1074,98964,340627,290535
144,Bhutan,59358,84,21,0.0,58856,233,481,2,75404,27,2301399,2923525,7872
145,Mauritania,58699,4,982,0.0,577,4,17,0,12044,201,805551,165281,4873830
146,Belize,57561,26,676,0.0,56654,14,231,6,140095,1645,542191,1319610,410872
147,Cabo Verde,56036,5,401,0.0,55564,2,71,23,98817,707,400982,707113,567069
148,Syria,55833,4,315,0.0,52243,20,440,0,3054,172,146269,8001,18280493
149,Gabon,47602,0,304,0.0,47285,0,13,0,205,131,1593622,686293,2322072
150,Papua New Guinea,43821,0,650,0.0,43133,0,38,7,4733,70,249149,26912,9257967
151,Seychelles,42474,0,166,0.0,41727,0,581,0,427029,1669,0,0,99464
152,Cura�ao,42241,0,274,0.0,41612,0,355,3,255504,1657,496693,3004361,165324
153,Andorra,41717,368,153,0.0,41021,332,543,14,538339,1974,249838,3224049,77492
154,Burundi,40552,0,38,0.0,773,0,39741,0,3234,3,345742,27571,12540281
155,Mauritius,37714,17,990,0.0,36009,47,715,0,29565,776,358675,281172,1275641
156,Mayotte,37363,0,187,0.0,2964,0,34212,0,131149,656,176919,62101,284889
157,Togo,36995,2,273,0.0,36702,5,20,0,4284,32,731516,84719,8634650
158,Guinea,36459,0,440,0.0,35976,0,43,8,2645,32,660107,47882,13786163
159,Aruba,34846,0,212,0.0,34516,0,118,3,323854,197,177885,1653237,107598
160,Faeroe Islands,34658,0,28,0.0,7693,0,26937,5,704374,569,778,15811723,49204
161,Tanzania,33872,0,803,0.0,0,0,0,7,539,13,0,0,62854783
162,Bahamas,33626,25,798,0.0,32384,10,444,0,84036,1994,229817,574341,40014
163,Lesotho,3291,0,697,0.0,24155,0,8058,0,15142,321,431221,198407,2173414
